Sigurts Krieviòð
Marks Lapsiòð
Frenks Zeltiòð
Aloizis Jansons
Dþeims Mednis
Viesturs Voiciðs
Adonis Zvinelis
Heindrihs Aspers
Zigfrids Leitis
Spartaks Bîriòð
Daumants Kulmanis
Andars Meiers
Dagmârs Karlsons
Kondrâts Zvaigzne
Hilards Vilsons
Samvels Bîriòð
Ilgvalds Âboltiòð
Saulvedis Mihailovs
Farids Caune
Gunvalds Câlîtis
Iraidis Kronbergs
Brunons Auziòð
Klemens Puíîtis
Aldris Zîbers
Klimentijs Vecumnieks
Gotards Laiviòð
Tedis Grînbergs
Paulis Kohs
Fjodors Matisons
Emanuels Serþants
Esams Pçtersons
Edmunts Buïs
Elerts Zîbers
Latvis Brunkeviès
Vladis Caune
Simeons Mucenieks
Riks Pçtersons
Frementijs Kraulis
Dailons Znotiòð
Deimons Balodis
Mârts Zeidmanis
Gidons Rozenbahs
Larions Bîriòð
Donats Gailis
Raiders Pencis
Dinârs Meiers
Andris Riekstiòð
Damârs Ûdris
Silvers Gailis
Lonarts Serþants
Klaids Landmanis
Rûdolfs Riekstiòð
Milâns Griíis
Kriðs Aigars
Allans Alksnis
Semions Gailîtis
Ego Matisons
Mudijs Âboliòð
Gerts Aspers
Roberto Kohs
Marìeris Dreimanis
Janis Karlsons
Ervins Aigars
Benno Kaþoks
Tonijs Blaus
Valdemârs Auziòð
Kazimirs Kalniòð
Maigurs Fogelis
Kims Zîbers
Normans Grînbergs
Laimonts Laiviòð
Armis Mucenieks
Robijs Lâcis
Ariko Alksnis
Elviss Tîrelis
Arèils Aspers
Rièards Veiss
Luciâns Koks
Valdmiers Andersons
Kristars Mekðs
Jûliuss Mednis
Heincs Èudars
Volfreds Landmanis
Engus Zeltiòð
Serafims Lodiòð
Ciprians Pçrkons
Normands Âbele
Jazeps Danielsons
Mamerts Dzenis
Raits Krçsliòð
Ihtiandrs Voiciðs
Osvalds Jçkabsons
Argods Lâcis
Kristaps Miíelsons
Heinis Âboliòð
Valdis Salmiòð
Silards Upîtis
Amijs Rozenbahs
Zigrîds Lasmanis
Renato Lîdaks
